原文,中译,属性,人物与另一词条相等情况,人物所属另一词条（团体）,作品所属另一词条（作者）,作品所属另一词条（专辑）（单曲或章节等情况下）,作品年份,mimida,翻译来源及注释（mimida）,Tian Tang,翻译来源及注释（Tian Tang）,redhousepainter,翻译来源及注释（redhousepainter）,Lil Bag,翻译来源及注释（Lil Bag）
Roxanne Shante,洛葛仙妮·香缇,乐人,,,,,,洛葛仙妮·香缇,“洛葛仙妮”是比较近的译法了，此前还有“萝珊”、“罗克珊”等译法，不知大家常见的是哪种？,,洛葛仙妮·香缇,,,洛葛仙妮·香缇,可以用这个，因为netflix今年早些时候刚用了
Pete Rock,皮特·洛克,乐人,,Pete Rock & C. L. Smooth,,,,皮特·洛克,,,,,,,
C. L. Smooth,C·L·斯慕斯,乐人,,Pete Rock & C. L. Smooth,,,,C·L·斯慕斯,,,,,,,
Pete Rock & C. L. Smooth,皮特·洛克 & C·L·斯慕斯,乐人,,,,,,皮特·洛克 & C·L·斯慕斯,,,,,,,
《Mecca and the Soul Brother》,麦加与灵魂兄弟,专辑,,,Pete Rock & C. L. Smooth,,1992,麦加与灵魂兄弟,,,可以,,,,
《The Reminisce Over You (T.R.O.Y.)》,追忆你（T.R.O.Y.）,歌,,,Pete Rock & C. L. Smooth,《Mecca and the Soul Brother》,1992,追忆你（T.R.O.Y.）,,,,,,,
Scott La Rock,斯科特·拉·洛克,乐人,,,,,,斯科特·拉·洛克,,,,,,,
Gang Starr,匪帮明星,乐人,,,,,,,黑帮之星,,黑帮之星,,,匪帮明星,
DJ Premier,DJ普里莫,乐人,,,,,,DJ首相,,DJ普雷米亚,音译吧。（premiere也可以意指最好的，最佳的，但无法找到音近的中文）,,,DJ普里莫,音译好 对应他的绰号Premo
Guru,古鲁,乐人,,,,,,古鲁,,,可以,,,,
《Mass Appeal》,取悦大众,歌,,,Gang Starr,《Mass Appeal: The Best of Gang Starr》,2006,取悦大众,大众诉求,大众所好,这里appeal是指所有人都应该喜欢这张专辑,,,大众吸引力,
《Mass Appeal: The Best of Gang Starr》,取悦大众：黑帮之星精选,专辑,,,Gang Starr,,2006,取悦大众：黑帮之星精选,,,,,,,
Vic Juris,维克·朱里斯,乐人,,,,,,维克·朱里斯,,,,,,,
《Horizon Drive》,驱车地平线,歌,,,Vic Juris,,1980,驱车地平线,,,,,,,
Main Source,主源,乐人,,,,,,,,权威来源 ,举例，你写的这片论文的main source是啥？ - 这篇纽约时报文章,,,主源,主要来源
《Breaking Atoms》,击破原子,专辑,,,Main Source,,1991,,,,,,,击破原子,参见封面
Large Professor,大教授,乐人,,Main Source,,,,大码教授,"大号教授？(歌里道：Why's my name the Large Professor? 'Cause I milked your cow: in other words, I hit your heifer.) 但也有另外的说法：https://www.youtube.com/watch?v=L2mmMWqizqA",大码教授,,,,大教授,约定俗成的称呼
Sir Scratch,搓盘先生,乐人,,Main Source,,,,搓盘先生,,,,,,,
K-Cut,K-卡特,乐人,,Main Source,,,,K-切,,K-卡特,,,,K-卡特,K-卡特吧，k-切太奇怪了
《Live at the Barbeque》,烧烤现场,歌,,,Main Source,《Breaking Atoms》,1991,烧烤现场,,,,,,,
Wu-Tang Clan,武当派,乐人,,,,,,武当派,,,,,,,
《Enter the Wu-Tang (36 Chambers)》,走进武当（三十六房）,专辑,,,Wu-Tang Clan,,1993,走进武当（三十六房）,,,,,,,
《Da Mystery of Chessboxin’》,双马连环,歌,,,Wu-Tang Clan,《Enter the Wu-Tang (36 Chambers)》,1993,双马连环,国际象棋拳击之谜,国际象棋拳击之谜,（解释：1. 这首歌本身采样自一个老香港功夫电影。通常电影在美国播放时，会有英文翻译配音，他们用的是译制的声音。2.wu-tang里面有一哥们特别喜欢象棋，还写了关于象棋的。 3. Sample里面原话：the game of chess is like a sword fight — 没有提到chessboxing，而这个是wu-tang的自创词，基本上他们用 chess来比喻“暴力”。,,,斗棋的谜思,"这里的棋是说的中国象棋， 我倒是觉得可以抽象点 like “斗棋的谜思” 可附注：歌名来自港片 双马连环"
RZA,RZA,乐人,,Wu-Tang Clan,,,,RZA,,,,,,,
Ghostface Killah,鬼脸杀手,乐人,,Wu-Tang Clan,,,,鬼脸煞星,,,鬼面煞星,,,鬼脸杀手,中文约定俗成一般就叫鬼脸，鬼脸杀手也行
《Daytona 500》,戴通纳500,歌,,,Ghostface Killah,,1996,戴通纳500,,贷通纳400 ,贷通纳是个城市，贷通纳500是个赛车比赛,,,戴托纳500,
Method Man,智多星,乐人,,Wu-Tang Clan,,,,智多星,名字来自于电影《小子命大》,聪明人/有招数的人,出处（1：是angel dust，一种叫pcp的毒品，不过在hood里黑人会把大麻和angel dust混在一起抽，让人发疯。并且他在别的歌里很直接的唱PCP。2：香港功夫片里的一个角色  3：字面上还有聪明人，有招数的人的意思。）,,,方法人,国内统称
Raekwon,瑞空,乐人,,Wu-Tang Clan,,,,瑞空,,,,,,,
《Only Built 4 Cuban Linx…》,只给戴古巴金链的弟兄们,专辑,,,Raekwon,,1995,只给戴古巴金链的弟兄们,只给懂真正的黑人哥们儿，加了注释,,1. 金链上的连接处叫做chain link。 2. Cuban Linx是故意写错的Cuban Links。 3. Cuban Linx是号称最牢固的连接方式。4. Cuban Linx款式如图。 5. 含义上这歌是说，直给最狠最强的人。,,,,
Kanye West,坎耶·威斯特,乐人,,,,,,坎耶·威斯特,,,坎耶·威斯特,,,坎耶·威斯特,
《Stronger》,更强,歌,,,Kanye West,,2007,更强,,,,,,,
Melle Mel,梅勒·梅尔,乐人,,Grandmaster Flash & Furious Five,,,,梅勒·梅尔,,,,,,,
《The Message》,讯息,歌,,,Grandmaster Flash & Furious Five,,1982,讯息,,,,,,,
Boogie Down Productions,布吉唐制作,乐人,,,,,,布吉唐制作,,布吉唐制作,音译挺好的,,,布吉唐制作,可以解释下Boogie Down是The Bronx的在80年代外号，所以其实意思就是布朗克斯的产物、布朗克斯名物的意思
KRS-One,KRS-One,乐人,,,,,,KRS-One,google里看到“救世王”这个翻译，在中文语境里常见吗？,,同意左右各位,,,,救世王太台湾了哈哈，能不翻么，怎么翻都怪，不然就克里斯唯一
《South Bronx》,南布朗克斯,歌,,,KRS-One,,1986,南布朗克斯,,,,,,,
《Criminal Minded》,犯罪思维,专辑,,,Boogie Down Productions,,1987,犯罪思维,,,,,,,
Kool Moe Dee,酷莫迪,乐人,,,,,,库尔·莫·迪,,,,,,酷莫迪,
《How Ya Like Me Now》,你干得过我吗,歌,,,Kool Moe Dee,,1987,你干得过我吗,,现在你还看得起我么？ ,,,,你干不过我,歌词就是各种自吹自擂
《Death Blow》,致命一击,歌,,,Kool Moe Dee,,1991,致命一击,,,,,,,
《There’s a God on the Mic》,麦克风前有神明,书,,,Kool Moe Dee,,2003,,,,,,,麦克风前有神明,
Native Tongues,母语联盟,乐人,,,,,,本地语,,母语联盟,,,,母语联盟 ,
Jungle Brothers,丛林兄弟,乐人,,,,,,丛林兄弟,,,,,,,
《Straight out the Jungle》,冲出丛林,专辑,,,,,1988,冲出丛林,,,,,,,
Public Enemy,全民公敌,乐人,,,,,,全民公敌,,,,,,,
Chuck D,查克·D,乐人,,Public Enemy,,,,查克·D,,,,,,,
Professor Griff,格里夫教授,政治家,,Public Enemy,,,,格里夫教授,,,,,,,
《Bring the Noise》,来点噪音,歌,,,Public Enemy,,1987,来点噪音,,,,,,,
《It Takes a Nation of Millions to Hold Us Back》,万夫莫敌,专辑,,,Public Enemy,,1988,万夫莫敌,,,,,,,
The Bomb Squad,炸弹小队,乐人,,,,,,炸弹小队,,,,,,,
Hank Shocklee,汉克·肖克利,乐人,,The Bomb Squad,,,,汉克·肖克利,,,,,,,
Keith Shocklee,基思·肖克利,乐人,,The Bomb Squad,,,,基思·肖克利,,,,,,,
"Eric ""Vietnam"" Sadler",埃里克 ·“越南”·赛德勒,乐人,,The Bomb Squad,,,,埃里克 ·“越南”·赛德勒,,,,,,,
3rd Bass,第三低音,乐人,,,,,,第三低音,,,第三低音,,,,
Ice Cube,冰块,乐人,,N.W.A,,,,冰块,网上翻成“冰块酷巴”的倒是挺多的，这种误译是否有必要沿用？,,,,,冰块,冰块就行了
Loudness,巨响,乐人,,,,,,巨响,,,,,,,
《Buddy》,哥们儿,歌,,,De La Soul,《3 Feet High and Rising》,1989,哥们儿,,,,,,,
《3 Feet High and Rising》,高过三英尺,专辑,,,De La Soul,,1989,高过三英尺,,,,,,,
Q-Tip,Q-提普,乐人,,A Tribe Called Quest,,,,Q-提普,,,,,,,
Ali Shaheed,阿里·沙希德,乐人,,A Tribe Called Quest,,,,阿里·沙希德,,,,,,,
Phife Dawg,费夫·道格,乐人,,A Tribe Called Quest,,,,费夫·道格,,,,,,,
《Can I Kick It?》,我可以开始了吗？,歌,,,A Tribe Called Quest,,1990,我可以开始了吗？,,开耍/我能耍起来吗,,,,,
《Check the Rhime》,感受韵脚,歌,,,A Tribe Called Quest,,1991,,听听咱这韵,感受咱这韵,,,,感受韵脚,
《The Anthology》,选集,专辑,,,A Tribe Called Quest,,1999,选集,,,,,,,
The Roots,根,乐人,,,,,,根,,,,,,,
Black Thought,黑色思想,乐人,,The Roots,,,,黑色思想,,黑色思想,,,,,
Questlove,奎斯特拉夫,乐人,,The Roots,,,,奎斯特拉夫,这个贱人经常写作“?uestlove”，所以有些困惑该如何译,奎斯特拉夫,,,,奎斯特拉夫,还是奎斯特拉夫吧，意译太怪 “寻爱”？
《Things Fall Apart》,分崩离析,专辑,,,The Roots,,1999,分崩离析,,,,,,,
Common,凡夫俗子,乐人,,,,,,凡夫俗子,,,,,,,
《Like Water for Chocolate》,恰似水之于巧克力,专辑,,,Common,,2000,恰似水之于巧克力,,,,,,,
Soulquarians,灵瓶座,乐人,,,,,,灵瓶座,,灵瓶座,,,,,
Jay-Z,杰斯,乐人,,,,,,杰伊-Z,,,,,,杰斯,
Slick Rick,机灵瑞克,乐人,,,,,,斯里克·瑞克,,犀利瑞克,或者音译也挺好。 不过slick就是那种 很犀利，帅的意思。,,,机灵瑞克,
《The Great Adventure of Slick Rick》,机灵鬼瑞克大冒险,专辑,,,Slick Rock,,1988,机灵鬼瑞克大冒险,取决于上一条,,,,,,
Doug E. Fresh,道格·E·弗莱什,乐人,,,,,,道格·E·弗莱什,,,,,,,
Jam Master Jay,即兴大师杰伊,乐人,,,,,,即兴大师杰伊,,,,,,乐曲大师杰伊,
Ultramagnetic MC’s,超磁力MC’s,乐人,,,,,,超磁力MC’s,,,,,,超磁力MC们,
《Critical Beatdown》,致命一击,专辑,,,Ultramagnetic MC’s,,1988,致命一击,,,,,,,
Ced-Gee,赛德-基,乐人,,Ultramagnetic MC’s,,,,赛德-基,,,,,,,
Dr. Octagon,八角博士,乐人,,Ultramagnetic MC’s,,,,八角形大夫,,,,,,八角博士,国内约定俗成的是“八角博士”
Kool Keith,酷基斯,乐人,Dr. Octagon,,,,,库尔·基斯,,,,,,酷-基斯,
EPMD,EPMD,乐人,,,,,,EPMD,,,,,,,
《Strictly Business》,纯粹生意,专辑,,,EPMD,,1988,纯粹生意,,在商言商,,,,纯粹生意,
Todd Terry,托德·泰瑞,乐人,,,,,,托德·泰瑞,,,,,,,
《All Hail the Queen》,女皇万岁,专辑,,,Queen Latifah,,1989,女皇万岁,,,,,,,
DJ Mark the 45 King,DJ马克45寸之王,乐人,,,,,,DJ马克45寸之王,,,,,,马克45寸之王,
Brand Nubian,新努比亚人,乐人,,,,,,新努比亚人,名字的多义比较难翻,,,,,努比亚人,
《One for All》,我为人人,专辑,,,Brand Nubian,,1990,我为人人,,,,,,,
Diamond and the Psychotic Neurotics,戴蒙德和神经官能精神病们,乐人,,,,,,,这他妈,,,,,钻石与疯孩子们,话说这张专辑里其实除了Diamond D其他人也没啥存在感
"《Stunts, Blunts & Hip Hop》",妞、草、嘻哈,专辑,,,Diamond and the Psychotic Neurotics,,1992,妞、草、嘻哈,,,,,,,
Lord Finesse,菲内斯爵爷,乐人,,Diamond and the Psychotic Neurotics,,,,,绝技之王,,,,,菲内斯爵爷,
Showbiz and A.G.,秀比兹与AG,乐人,,Diamond and the Psychotic Neurotics,,,,,,,我喜欢”秀比兹与AG“,,,秀比兹与AG,
Buckwild,疯王,乐人,,Diamond and the Psychotic Neurotics,,,,巴克怀尔德,,,疯狂/失去控制,,,巴克怀尔德,音译吧
Fat Joe,肥仔乔,乐人,,Diamond and the Psychotic Neurotics,,,,胖乔,,,肥仔乔 哈哈哈,,,肥仔乔,肥仔乔约定俗成了
Big L,大L,乐人,,Diamond and the Psychotic Neurotics,,,,大L,,,,,,,
Diamond D,戴蒙德·D,乐人,,Diamond and the Psychotic Neurotics,,,,戴蒙德·D,,,,,,钻石D,
Jeru the Damaja,破坏者杰鲁,乐人,,,,,,破坏者杰鲁,,,,,,,
《The Sun Rises in the East》,日出东方,专辑,,,Jeru the Damaja,,1994,日出东方,,,,,,,
《Come Clean》,来点真的,歌,,,Jeru the Damaja,,1994,来点真的,可能过于意译了？（据说意思是不要拿着枪来，要比就比说唱实力）,,坦白/说出真相,,,说点真的,不要拿枪是里面的一个金句，主要还是自吹自擂，我比你们厉害这种的
Nas,纳斯,乐人,,,,,,纳斯,,,,,,,
《Illmatic》,举世无敌,专辑,,,Nas,,1994,举世无敌,为了能让后来的《Stillmatic》叫“仍旧无敌”,,,,,举世无双/无与伦比,"这也是一个永恒难题。 台湾人建议叫“屌学” 。。。Nas claimed that the name""Illmatic"" (meaning ""beyond ill"" or ""the ultimate"") was areference to his incarcerated Queensbridge friend, Illmatic Ice. Nas later described the title name as ""supreme ill. It's as ill as illgets. That shit is a science of everything ill."". 就叫“举世无双” 或者“无与伦比”吧"
Mobb Deep,强力暴徒二人组,乐人,,,,,,,"“When we mobb, we mobb deep.” 料想意译的话应该是“xx团伙”，中文语境中有否常用译名？",,Mobb是指Mafia，Deep 深厚。,,,强力暴徒二人组,
《The Infamous》,恶名昭著,专辑,,,Mobb Deep,,1995,恶名昭著,,,,,,,
Havoc,哈维克,乐人,,,,,,大破坏,,,,,,哈维克,
The Notorious B.I.G.,声名狼藉先生,乐人,,,,,,声名狼藉先生,这个翻译似乎在港台比较常见了，国内是否通行其他说法？,,,,,,
Biggie,大个子,乐人,The Notorious B.I.G.,,,,,大个子,,,,,,,
《Ready to Die》,准备受死,专辑,,,The Notorious B.I.G.,,1994,准备受死,,,,,,,
Sean Puffy Combs,吹牛老爹,乐人,,,,,,肖恩·吹牛·康布斯,这家伙的问题在于：“Puff Daddy”的情况下“翻成“吹牛老爹”，那么“Diddy”的情况下要翻成什么？国内人经常说的“吹爹”？,,,,,吹牛老爹,不要管Diddy，一直都叫吹牛老爹
Smif-N-Wessun,斯密夫威森,乐人,,,,,,斯密夫威森,,,斯密夫威森组合 （Smith&Wesson是一个造枪的公司）,,,史密斯威森 ,来自于同名枪械品牌
Tek,泰克,乐人,,Smif-N-Wessun,,,,泰克,,,,,,,
Steele,斯蒂尔,乐人,,Smif-N-Wessun,,,,斯蒂尔,,,,,,,
《Dah Shinin’》,闪灵,专辑,,,Smif-N-Wessun,,1995,闪灵,,,《闪灵》 虽然没有明说，但感觉在引用电影。,,,,
Boot Camp Clik,军事集中训练营,乐人,,,,,,军事训练营,,军事集中训练营组合, Boot Camp是一种在正式加入军队前的集中训练营。Clik是俚语里组合，group的意思。,,,,
Da Beatminerz,节奏矿工,乐人,,,,,,伴奏矿工,,,,,,,
Fugees,流亡者,乐人,,,,,,流亡者,,,,,,,
《The Score》,配乐,专辑,,,Fugees,,1996,配乐,http://www.mtv.com/news/2501004/the-fugees-explain-the-score-album-title-in-1996/,,,,,,
Lauryn Hill,劳伦·希尔,乐人,,Fugees,,,,劳伦·希尔,,,,,,,
Wyclef Jean,怀克里夫·让,乐人,,Fugees,,,,怀克里夫·让,,,,,,,
Pras,普拉斯,乐人,,Fugees,,,,普拉斯,,,,,,,
Company Flow,韵律团伙,乐人,,,,,,,,韵律团伙,Company既是公司又是组合的意思,,,,
《Funcrusher Plus》,欢乐撞击机,专辑,,,Company Flow,,1997,,,放克拉什,放克拉什+/ 搞坏专加 (不知道，瞎说）,,,欢乐撞击机,约定俗成翻译
Black Star,黑星,乐人,,,,,,黑星,,暗星 / 黑星,,,,,
《Black Star》,黑星,专辑,,,Black Star,,1998,黑星,,暗星 / 黑星,,,,,
Mos Def,摩斯・戴夫,乐人,,Black Star,,,,摩斯・戴夫,,,,,,,
Talib Kweli,泰利布·奎力,乐人,,Black Star,,,,泰利布·奎力,,,,,,,
《Definition》,定义,歌,,,Black Star,,1998,定义,,,,,,,
2 Pac,图帕克,乐人,,,,,,图帕克,,,,,,,
J Dilla,J·迪拉,乐人,,,,,,J·迪拉,,,,,,,
James Poyser,詹姆斯·博伊瑟尔,乐人,,,,,,詹姆斯·博伊瑟尔,,,,,,,
Bob Dylan,鲍勃·迪伦,乐人,,,,,,鲍勃·迪伦,,,,,,,
Michael Jackson,迈克尔·杰克逊,乐人,,,,,,迈克尔·杰克逊,,,,,,,
《Thriller》,颤栗,歌,,,Michael Jackson,,1982,颤栗,,,,,,,
Eddie Van Halen,艾迪·范·海伦,乐人,,,,,,艾迪·范·海伦,,,,,,,
Prince,王子,乐人,,,,,,王子,,,,,,,
《Purple Rain》,紫雨,歌,,,Prince,,1984,紫雨,,,,,,,
《 Housequake》,房震,歌,,,Prince,,1987,房震,来自赵老师,,,,,,
Slayer,杀手,乐人,,,,,,杀手,,,,,,,
《Angel of Death》,死亡天使,歌,,,Slayer,,1986,死亡天使,,,,,,,
Megadeth,麦格戴斯,乐人,,,,,,麦格戴斯,,,,,,,
Anthrax,炭疽,乐人,,,,,,炭疽,,,,,,,
Misfits,不合时宜者,乐人,,,,,,不合时宜者,,,,,,,
Glenn Danzig,格伦·丹泽,乐人,,Misfits,,,,格伦·丹泽,,,,,,,
Guns N' Roses,枪与玫瑰,乐人,,,,,,枪与玫瑰,,,,,,,
Andrew Dice Clay,安德鲁·戴斯·克雷,搞笑艺人,,,,,,安德鲁·戴斯·克雷,,,,,,,
Andrew Clay Silverstein,安德鲁·克雷·希尔维斯坦,搞笑艺人,Andrew Dice Clay,,,,,安德鲁·克雷·希尔维斯坦,,,,,,,
The Diceman,骰子人,搞笑艺人,Andrew Dice Clay,,,,,骰子人,,,,,,,
Red Hot Chili Pepper,红辣椒,乐队,,,,,,红辣椒,,,,,,,
Johnny Cash,约翰尼·卡什,乐人,,,,,,约翰尼·卡什,,,,,,,
Metallica,金属,乐队,,,,,,金属,,,,,,,
Adele,阿黛尔,乐人,,,,,,阿黛尔,,,,,,,
John Lennon,约翰·列侬,乐人,,,,,,约翰·列侬,,,,,,,
Beck,贝克,乐人,,,,,,贝克,,,,,,,
Al Jolson,艾尔·乔森,乐人,,,,,,艾尔·乔森,,,,,,,
Jackie Wilson,杰基·威尔森,乐人,,,,,,杰基·威尔森,,,,,,,
George Gershwin,乔治·格什温,乐人,,,,,,乔治·格什温,,,,,,,
Jacob Gershowitz,雅各布·格肖维茨,乐人,George Gershwin,,,,,雅各布·格肖维茨,,,,,,,
《Rhapsody in Blue》,蓝色狂想曲,歌,,,George Gershwin,,1924,蓝色狂想曲,,,,,,,
Ira Gershwin,艾拉,乐人,,,,,,艾拉,,,,,,,
Irving Berlin,欧文·柏林,乐人,,,,,,欧文·柏林,,,,,,,
Israel Isidore Beilin,以色列·依西多禄·贝林,乐人,Irving Berlin,,,,,以色列·依西多禄·贝林,,,,,,,
《White Christmas》,白色圣诞,歌,,,Irving Berlin,,1942,白色圣诞,,,,,,,
Richard Rodgers,理查德·罗杰斯,乐人,,,,,,理查德·罗杰斯,,,,,,,
Jerome Kern,杰罗姆·科恩,乐人,,,,,,杰罗姆·科恩,,,,,,,
Al Sherman,阿尔·谢尔曼,乐人,,,,,,阿尔·谢尔曼,,,,,,,
Gus Kahn,格斯·卡恩,乐人,,,,,,格斯·卡恩,,,,,,,
Leonard Chess,莱昂纳德,实业家,,,,,,莱昂纳德,,,,,,,
Phil Chess,菲尔,实业家,,,,,,菲尔,,,,,,,
Muddy Waters,马迪·沃特斯,乐人,,,,,,马迪·沃特斯,,,,,,,
John Lee Hooker,约翰·李·胡克,乐人,,,,,,约翰·李·胡克,,,,,,,
Leiber & Stoller,雷伯与斯特勒,乐人,,,,,,雷伯与斯特勒,,,,,,,
The Coasters,贸易船合唱团,乐人,,,,,,贸易船合唱团,,住在海边的人,不清楚。 The Coasters 也感觉像是说 住在海边的人，黑哥很多来自中美洲各种岛国。,,,,
The Drifters,漂流者合唱团,乐人,,,,,,漂流者合唱团,,,,,,,
Elvis Presley,猫王,乐人,,,,,,猫王,,,,,,,
Phil Spector,菲尔·斯派克特,乐人,,,,,,菲尔·斯派克特,,,,,,,
《A Christmas Gift for You from Phil Spector》,菲尔·斯派克特送给你的圣诞礼物,专辑,,,Phil Spector,,1963,菲尔·斯派克特送给你的圣诞礼物,,,,,,,
《Rudolph the Red-Nosed Reindeer》,红鼻子驯鹿鲁道夫,歌,,,,《A Christmas Gift for You from Phil Spector》,1963,红鼻子驯鹿鲁道夫,,,,,,,
Carole King,卡洛尔·金,乐人,,,,,,卡洛尔·金,,,,,,,
Gerry Goffin,盖瑞·戈芬,乐人,,,,,,盖瑞·戈芬,,,,,,,
Aretha Franklin,艾瑞莎·弗兰克林,乐人,,,,,,艾瑞莎·弗兰克林,,,,,,,
《(You Make Me Feel Like) A Natural Woman》,天生女人（你让我做回自己）,歌,,,Aretha Franklin,,1967,天生女人（你让我做回自己）,,你让我找回自我 / 你让我感觉自己是个女人,不确定,,,,
Paul Simon,保罗·西蒙,乐人,,,,,,保罗·西蒙,,,,,,,
《50 Ways to Leave Your Lover》,离开你爱人的五十种方法,歌,,,Paul Simon,,1975,离开你爱人的五十种方法,,,,,,,
Simon & Garfunkel,西蒙和加芬克尔,乐人,,,,,,西蒙和加芬克尔,,,,,,,
Laura Nyro,劳拉·尼罗,乐人,,,,,,劳拉·尼罗,,,,,,,
《Gonna Take a Miracle》,除非发生奇迹,专辑,,,Laura Nyro,,1971,除非发生奇迹,,,,,,,
Gamble and Huff,甘堡与哈夫,乐人,,,,,,甘堡与哈夫,,,,,,,
Burt Bacharach,伯特·巴卡拉克,乐人,,,,,,伯特·巴卡拉克,,,,,,,
《At This Time》,此时此刻,专辑,,,Burt Bacharach,,2005,此时此刻,,,,,,,
Dionne Warwick,迪昂·华薇克,乐人,,,,,,迪昂·华薇克,,,,,,,
Patti LaBelle,佩蒂·拉贝尔,乐人,,,,,,佩蒂·拉贝尔,,,,,,,
The Ronettes,罗妮特,乐人,,,,,,罗妮特,,罗特妮合唱团  / 罗特妮姐妹,,,,,
The Righteous Brothers,正义兄弟,乐人,,,,,,正义兄弟,,,,,,,
